,id,name,surname,birthdate,deathdate,nationality,artist,complete_name,entity_name,gender,recordLabels,instruments
90,Q44855,Jackie,Jackson,1951-05-04,,US,2iE18Oxc8YSumAU232n4rW,,Jackie Jackson,male,"Q216364,Q3972237,Q43327,Q31839","voice,tambourine"
91,Q336222,Tito,Jackson,1953-10-15,,US,2iE18Oxc8YSumAU232n4rW,,Tito Jackson,male,"Q216364,Q3972237,Q43327,Q31839","guitar,programming,voice"
92,Q317784,Jermaine,Jackson,1954-12-11,,US,2iE18Oxc8YSumAU232n4rW,Jermaine La Jaune Jackson,Jermaine Jackson,male,"Q216364,Q3972237,Q43327,Q31839","bass guitar,guitar,voice"
93,Q319392,Marlon David,Jackson,1957-03-12,,US,2iE18Oxc8YSumAU232n4rW,Marlon David Jackson,Marlon Jackson,male,"Q216364,Q3972237,Q43327,Q31839",voice
94,Q2831,Michael Joseph,Jackson,1958-08-29,2009-06-25,US,2iE18Oxc8YSumAU232n4rW,Michael Joseph Jackson,Michael Jackson,male,"Q216364,Q3972237,Q43327,Q31839","voice,piano,drum kit,percussion instrument"
95,Q191088,Joseph Adam,Jonas,1989-08-15,,US,6T5tfhQCknKG4UnH90qGnz,Joseph Adam Jonas,Joe Jonas,male,Q4413456,"guitar,voice"
96,Q6113606,Jack,Lawless,1987-09-20,,US,6T5tfhQCknKG4UnH90qGnz,,Jack Lawless,male,Q4413456,drum kit
97,Q24287375,Jin-joo,Lee,1987-11-15,,KR,6T5tfhQCknKG4UnH90qGnz,,JinJoo Lee,female,Q4413456,guitar
98,Q97570445,Cole,Whittle,1982-02-22,,US,6T5tfhQCknKG4UnH90qGnz,,Cole Whittle,male,Q4413456,
99,Q1239933,Donald,Glover,1983-09-25,,US,73sIBHcqh3Z3NyqHKZ7FOL,,Donald Glover,male,"Q202585,Q190585","piano,drum kit,voice"
100,Q459955,Steve,Aoki,1977-11-30,,US,77AiFEVeAVj2ORpC85QVJs,,Steve Aoki,male,"Q2310883,Q1703395",modular synthesizer
101,Q10745343,Louis,William Tomlinson,1991-12-24,,GB,57WHJIHrjOE3iAxpihhMnp,Louis Troy Austin,Louis Tomlinson,male,"Q7659636,Q183387,Q216364,Q664167",voice
102,Q2831,Michael Joseph,Jackson,1958-08-29,2009-06-25,US,3fMbdgg4jU18AjLCKBhRSm,Michael Joseph Jackson,Michael Jackson,male,"Q216364,Q330629,Q43327,Q38903,Q3001888,Q2358400,Q3972237","voice,piano,drum kit,percussion instrument"
103,Q29033349,Grace Elizabeth,Chatto,1985-12-10,,GB,6MDME20pz9RveH9rEXvrOM,Grace Elizabeth Chatto,Grace Chatto,female,"Q21077,Q202440,Q17985937","cello,percussion instrument"
104,Q64754197,Jack,Patterson,1985-07-02,,GB,6MDME20pz9RveH9rEXvrOM,,Jack Patterson,male,"Q21077,Q202440,Q17985937","electronic keyboard,piano,bass guitar,guitar,violin"
105,Q200577,Sean Paul Ryan Francis,Henriques,1973-01-09,,JM,3Isy6kedDrgPYoTS1dazA9,Sean Paul Ryan Francis Henriques,Sean Paul,male,"Q1190562,Q202440,Q190585","voice,singing"
106,Q25396976,Anne-Marie Rose,Nicholson,1991-04-07,,GB,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie Rose Nicholson,Anne-Marie,female,"Q1998195,Q202440,Q21077",voice
107,Q189758,Marvin Pentz,Gay,1939-04-02,1984-04-01,US,3koiLjNrgRTNbOwViDipeA,"Marvin Pentz Gay, Jr.",Marvin Gaye,male,"Q43327,Q183387","piano,voice,singing"
108,Q260918,,Terrell,1945-04-29,1970-03-16,US,75jNCko3SnEMI5gwGqrbb8,Thomasina Winifred Montgomery,Tammi Terrell,female,Q1250403,voice
109,Q117139,Wiz Cameron Jibril,Khalifa Thomaz,1987-09-08,,US,137W8MRPWKqSmrBGDBFSop,Cameron Jibril Thomaz,Wiz Khalifa,male,"Q202440,Q4010207,Q947422,Q843402",voice
110,Q5214275,Daniel,Reynolds,1987-07-14,,US,53XhwfbYqKCa1cC15pYq2q,,Dan Reynolds,male,"Q231694,Q19880695","voice,guitar"
111,Q17403213,Daniel Wayne,Sermon,1984-06-15,,US,53XhwfbYqKCa1cC15pYq2q,,Daniel Wayne Sermón,male,"Q231694,Q19880695","guitar,voice"
112,Q18637722,Benjamin Arthur,McKee,1985-04-07,,US,53XhwfbYqKCa1cC15pYq2q,Benjamin Arthur McKee,Ben McKee,male,"Q231694,Q19880695","bass guitar,guitar,voice"
113,Q18719116,Daniel James,Platzman,1986-09-28,,US,53XhwfbYqKCa1cC15pYq2q,Daniel James Platzman,Daniel Platzman,male,"Q231694,Q19880695","drum,voice,trumpet"
114,Q107370454,Sam Nelson,Harris,1988-09-26,,US,3NPpFNZtSTHheNBaWC82rB,,Sam Harris,male,Q231694,"voice,guitar,saxophone"
115,Q107370536,Casey,Harris,1987,,US,3NPpFNZtSTHheNBaWC82rB,,Casey Harris,male,Q231694,"keyboard instrument,piano"
116,Q107370879,Noah,Feldshuh,,,US,3NPpFNZtSTHheNBaWC82rB,,Noah Feldshuh,male,Q231694,
117,Q107370898,Adam,Levin,,,US,3NPpFNZtSTHheNBaWC82rB,,Adam Levin,male,Q231694,drum kit
118,Q6667429,Sir Robert Bryson,Hall,1990-01-22,,US,4xRYI6VqpkE3UwrDrAZL8L,Sir Robert Bryson Hall II,Logic,male,"Q654283,Q55315890","voice,MIDI keyboard,drum machine,sampler,piano,digital audio workstation,synthesizer"
119,Q34424,Shakira Isabel,Mebarak,1977-02-02,,CO,0EmeFodog0BfCgMzAIvKQp,Shakira Isabel Mebarak Ripoll,Shakira,female,"Q330629,Q216364,Q3001888,Q183387,Q202585,Q1061903","guitar,harmonica,percussion instrument,voice"
120,Q17517186,Juan Luis,Londoño,1994-01-28,,CO,1r4hJ1h58CWwUQe3MxPuau,Juan Luis Londoño Arias,Maluma,male,Q330629,voice
121,91c7a4d5-97b5-4f3c-945c-0cd5a0d2ee31,Cubbie,Fink,1983-10-02,,,7gP3bB2nilZXLfPHJhMdvc,,Cubbie Fink,,,
122,02b16a7f-0e8b-4df8-807c-aa40bae1d590,Mark,Foster,1984-02-29,,US,7gP3bB2nilZXLfPHJhMdvc,,Mark Foster,,,
123,7936fffc-8acf-4ee7-91d1-eaa3df92e381,Mark,Pontius,,,,7gP3bB2nilZXLfPHJhMdvc,,Mark Pontius,,,
124,9be25150-17ae-4452-90d9-1f34add2d257,Sean,Cimino,,,,7gP3bB2nilZXLfPHJhMdvc,,Sean Cimino,,,
125,854e815f-ce53-4085-a74d-4bb6fc4e1459,Isom David,Innis,1988-01-07,,US,7gP3bB2nilZXLfPHJhMdvc,Isom David Innis,Isom Innis,,,
126,Q5511893,Gerald Earl,Gillum,1989-05-24,,US,02kJSzxNuaWGqwubyUba0Z,Gerald Earl Gillum,G-Eazy,male,Q202585,voice
127,Q26435713,Marc,Bassy,1987-04-09,,US,3tQx1LPXbsYjE9VwN1Peaa,,Marc E. Bassy,male,Q4413456,
128,Q57586116,DJ,Esco,1990-12-31,,,2J0JN7EFN10G1Tty6hX0AN,,DJ Esco,male,,
129,Q15080570,Dominic Wynn,Woods,1992-06-20,,US,6d47Z08T4snK50HgTEHo5Z,Dominic Wynn Woods,Sage the Gemini,male,Q4413456,voice
130,Q268284,Mike Michael,Posner,1988-02-12,,US,2KsP6tYLJlTBvSUxnwlVWa,,Mike Posner,male,Q121698,"keyboard instrument,piano,voice"
131,Q12000501,Simen,Eriksrud,1975-11-12,,NO,5iNrZmtVMtYev5M9yoWpEq,,Simen Eriksrud,male,"Q38903,Q190585,Q7537474",
132,Q59238387,Espen,Berg,,,NO,5iNrZmtVMtYev5M9yoWpEq,,Espen Berg,male,"Q38903,Q190585,Q7537474",
133,Q14313,Pharrell,Williams,1973-04-05,,US,2RdwBSPQiwcmiDo9kixcl8,Pharrell Lanscilo Williams,Pharrell Williams,male,"Q3109712,Q183387,Q15995150,Q203059,Q664167,Q231694","drum kit,guitar,keyboard instrument,voice"
134,Q18044284,Jonathan David,Bellion,1990-12-26,,US,50JJSqHUf2RQ9xsHs0KMHg,Jonathan David Bellion,Jon Bellion,male,"Q193023,Q55315890",voice
135,Q204019,Maya,Arulpragasam,1975-07-18,,LK,0QJIPDAEDILuo8AIq3pMuU,Mathangi Arulpragasam,M.I.A.,female,"Q231694,Q1123947,Q1194456,Q155152,Q165745,Q6951530,Q13218788",percussion instrument
136,Q8298,David Pierre,Guetta,1967-11-07,,FR,1Cs0zKBU1kc0i8ypK3B9ai,Pierre David Guetta,David Guetta,male,"Q183412,Q1200368,Q3639792,Q13218788,Q21077,Q59117938,Q5924272,Q208909","synthesizer,keyboard instrument,piano"
137,Q15869,Farrokh Freddie,Bulsara Mercury,1946-09-05,1991-11-24,GB,1dfeR4HaWDbWqFHLkxsg1d,Farrokh Bulsara,Freddie Mercury,male,"Q726251,Q193023,Q3629023,Q387539,Q208909,Q190585,Q183412","guitar,piano,Hammond organ,keyboard instrument,voice"
138,Q15873,Brian Harold,May,1947-07-19,,GB,1dfeR4HaWDbWqFHLkxsg1d,Brian Harold May,Brian May,male,"Q726251,Q193023,Q3629023,Q387539,Q208909,Q190585,Q183412","guitar,piano,singing,bass guitar,keyboard instrument,voice"
139,Q15880,Roger,Taylor,1949-07-26,,GB,1dfeR4HaWDbWqFHLkxsg1d,Roger Meddows Taylor,Roger Taylor,male,"Q726251,Q193023,Q3629023,Q387539,Q208909,Q190585,Q183412","guitar,drum kit,voice,drum machine,keyboard instrument,bass guitar"
140,Q192103,John Richard John,Deacon,1951-08-19,,GB,1dfeR4HaWDbWqFHLkxsg1d,John Richard Deacon,John Deacon,male,"Q726251,Q193023,Q3629023,Q387539,Q208909,Q190585,Q183412","electric bass guitar,bass guitar,piano"
141,Q21621919,Austin Richard,Post,1995-07-04,,US,246dkjvS1zLTtiykXe5h60,Austin Richard Post,Post Malone,male,Q4413456,"voice,guitar"
142,Q27836004,Brad,Simpson,1995-07-28,,GB,7gAppWoH7pcYmphCVTXkzs,,Brad Simpson,male,Q55965015,
143,Q27836012,James,McVey,1994-04-30,,,7gAppWoH7pcYmphCVTXkzs,,James McVey,male,Q55965015,
144,Q27836043,Connor,Ball,1996-03-15,,,7gAppWoH7pcYmphCVTXkzs,,Connor Ball,male,Q55965015,
145,Q27839463,Tristan,Evans,1994-08-15,,,7gAppWoH7pcYmphCVTXkzs,,Tristan Evans,male,Q55965015,
146,Q19845354,Tom,Lagergren,1991-05-29,,NO,4YXycRbyyAE0wozTk7QMEq,Tom Stræte Lagergren,Matoma,male,,
147,Q3930275,Magnus,August Høiberg,1987-11-29,,NO,2LZDXcxJWgsJfKXZv9a5eG,Magnus August Høiberg,Cashmere Cat,male,"Q55975597,Q231694,Q63284857,Q6697804",
148,Q83287,Selena Marie,Gómez,1992-07-22,,US,0C8ZW7ezQVs4URX5aX7Kqx,Selena Marie Gomez,Selena Gomez,female,"Q387539,Q231694","voice,piano"
149,Q18353558,Daystar,Peterson,1992-07-27,,CA,2jku7tDXc6XoB6MO2hFuqg,Daystar Shemuel Shua Peterson,Tory Lanez,male,Q231694,voice
150,Q23978226,Garrett,Charles Nash,1993-06-16,,US,3iri9nBFs9e4wN7PLIetAw,Garrett Charles Nash,Gnash,male,Q202440,
151,Q23978275,Olivia Gail,O'Brien,1999-11-26,,US,1QRj3hoop9Mv5VvHQkwPEp,Olivia Gail O'Brien,Olivia O'Brien,female,Q190585,voice
